Serial Number,List Year,Place,PlaceID,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,PropertyTypeID,Residential Type
210065,2021,Bridgeport,45,31 REMINGTON ST UNIT #B4,26600,52000,0.51,Commercial,3,Condo
210382,2021,Branford,11,123 CEDAR ST,124900,260000,0.48,Vacant Land,1,Single Family
210581,2021,Fairfield,52,118 BERWICK AVENUE,309120,525000,0.59,Vacant Land,1,Condo
210083,2021,New Fairfield,69,18 HERITAGE ISLAND RD,1847300,2000000,0.92,Vacant Land,1,Single Family
210335,2021,Bloomfield,6,6 MALONE DR,98770,195000,0.51,Commercial,3,Single Family
210113,2021,East Windsor,3,1 ASPEN DR,141310,581317,0.24,Vacant Land,1,Single Family
210225,2021,Bridgeport,45,597 HUNTINGTON TPKE,183181,350000,0.52,Commercial,3,Single Family
21206,2021,Burlington,19,32 NELSON DR,230860,525000,0.44,Residential,2,Single Family
210094,2021,Berlin,24,41 WALDEN CT,278200,484900,0.57,Commercial,3,Single Family
21237,2021,Guilford,21,194 RIVER ST,303120,495000,0.61,Residential,2,Single Family
211045,2021,Danbury,31,160 SHELTER ROCK RD 8,113000,278000,0.41,Commercial,3,Condo
210535,2021,New Britain,56,160-F BRITTANY FARMS,96040,209000,0.46,Commercial,3,Condo
2100209,2021,Naugatuck,58,39 HARLOW ST,128590,260000,0.49,Vacant Land,1,Single Family
21063,2021,Bethel,28,16 LOCKWOOD CIRCLE,342370,573500,0.6,Vacant Land,1,Condo
21051,2021,Chester,83,55 MAPLE ST,204400,420000,0.49,Residential,2,Single Family
210042,2021,Goshen,84,24 STONEBRIDGE LANE,256200,580000,0.44,Vacant Land,1,Single Family
210380,2021,New Britain,56,86 MAPLEHURST AVE,128170,150000,0.85,Commercial,3,Single Family
210074,2021,Branford,11,7 TOOLE DR,172200,307500,0.56,Residential,2,Single Family
210270,2021,New Britain,56,137 STRATFORD RD,115220,285000,0.4,Commercial,3,Single Family
2100154,2021,Stamford,73,99 OLD BARN ROAD WEST,292910,530000,0.55,Commercial,3,Single Family
